Symbol,Company,Sector,Industry,Exchange,Currency,Year_End,IPO,YearsActive,Price,Shares,ImpliedShares,MarketCap,P/S_TTM,P/S_2024,P/E_TTM,P/E_2024,TTM_Revenue,TTM_NetIncome,Q_Rev%,2025_Revenue,2025_NetIncome,2025_EBITDA,2024_Revenue,2024_NetIncome,2024_EBITDA,2023_Revenue,2023_NetIncome,2023_EBITDA,2022_Revenue,2022_NetIncome,2022_EBITDA,2021_Revenue,2021_NetIncome,2021_EBITDA,2020_Revenue,2020_NetIncome,2020_EBITDA,3yrRev,2025_Rev%,2025_NetMargin,2024_Rev%,2024_NetMargin,2023_Rev%,2023_NetMargin,2022_Rev%,2022_NetMargin,2021_Rev%,2021_NetMargin,2020_Rev%,2020_NetMargin,2025_EBITDA%,2024_EBITDA%,2023_EBITDA%,2022_EBITDA%,2025_FCF,2025_FCF%,2024_FCF,2024_FCF%,2023_FCF,2023_FCF%,2022_FCF,2022_FCF%,2025_Interest_Expense,2025_Interest_Income,2025_NetInterest,2025_Interest/Rev,2024_Interest_Expense,2024_Interest_Income,2024_NetInterest,2024_Interest/Rev,2023_Interest_Expense,2023_Interest_Income,2023_NetInterest,2023_Interest/Rev,2022_Interest_Expense,2022_Interest_Income,2022_NetInterest,2022_Interest/Rev,2025_SG&A,2025_SG&A%,2024_SG&A,2024_SG&A%,2023_SG&A,2023_SG&A%,2022_SG&A,2022_SG&A%,2025_Assets,2025_Cash,2025_CurrentAssets,2025_Debt,2025_NetDebt,2025_Liabilities,2025_ND/A,2025_ND/Rev,2025_Cash/Rev,2025_Cash/Assets,2025_Debt/Assets,2025_Assets/Equity,2025_Liabilities/Equity,2025_Debt%,2024_Assets,2024_Cash,2024_CurrentAssets,2024_Debt,2024_NetDebt,2024_Liabilities,2024_ND/A,2024_ND/Rev,2024_Cash/Rev,2024_Cash/Assets,2024_Debt/Assets,2024_Assets/Equity,2024_Liabilities/Equity,2024_Debt%,2023_Assets,2023_Cash,2023_CurrentAssets,2023_Debt,2023_NetDebt,2023_Liabilities,2023_ND/A,2023_ND/Rev,2023_Cash/Rev,2023_Cash/Assets,2023_Debt/Assets,2023_Assets/Equity,2023_Liabilities/Equity,2023_Debt%,2022_Assets,2022_Cash,2022_CurrentAssets,2022_Debt,2022_NetDebt,2022_Liabilities,2022_ND/A,2022_ND/Rev,2022_Cash/Rev,2022_Cash/Assets,2022_Debt/Assets,2022_Assets/Equity,2022_Liabilities/Equity,2022_Debt%
ARL,"American Realty Investors, Inc.",Real Estate,RE Services,NYSE,USD,12/31/24,4/21/82,44.1,14.05,16152000,16152000,227,4.6327,4.8298,45.4,-15.1333,49,5,10.59,50,16,41,47,-15,3,50,4,30,37,373,604,42,3,,,9,,3.82,6.38,32.0,-6.0,-31.91,35.14,8.0,-11.9,1008.11,,7.14,,,82.0,6.38,60.0,1632.43,,,1,2.13,-31,-62.0,-45,-121.62,7,15,-8,-16.0,7,20,-12,-25.53,9,26,-17,-34.0,17,26,-9,-24.32,16,32.0,14,29.79,20,40.0,18,48.65,,,,,,,,,,,,,,,1033,20,358,185,165,231,0.1597,3.5106,0.4255,0.0194,0.1791,1.288,0.288,17.91,1023,37,412,183,146,207,0.1427,2.92,0.74,0.0362,0.1789,1.2537,0.2537,17.89,1197,113,595,317,204,385,0.1704,5.5135,3.0541,0.0944,0.2648,1.4741,0.4741,26.48
ARLO,"Arlo Technologies, Inc.",Industrials,Building Products & Equipment,NYSE,USD,12/31/24,8/3/18,7.8,13.16,103711000,103711004,1365,2.5803,2.6712,97.5,-44.0323,529,14,16.23,529,15,10,511,-31,-32,491,-22,-20,490,-56,-52,435,-56,,357,-101,,5.51,3.52,2.84,4.07,-6.07,0.2,-4.48,12.64,-11.43,21.85,-12.87,,-28.29,1.89,-6.26,-4.07,-10.61,67,12.67,49,9.59,35,7.13,-48,-9.8,,5,-5,-0.95,,5,,,,3,,,,0,,,151,28.54,145,28.38,122,24.85,126,25.71,311,146,,7,,183,,,0.276,0.4695,0.0225,2.4297,1.4297,2.25,298,82,263,18,-64,197,-0.2148,-0.1252,0.1605,0.2752,0.0604,2.9505,1.9505,6.04,286,57,251,17,-40,182,-0.1399,-0.0815,0.1161,0.1993,0.0594,2.75,1.75,5.94,272,84,233,19,-65,185,-0.239,-0.1327,0.1714,0.3088,0.0699,3.1264,2.1264,6.99
ARLP,"Alliance Resource Partners, L.P.",Energy,Thermal Coal,NASDAQ,USD,12/31/24,8/17/99,26.8,24.88,128658801,128427999,3201,1.459,1.3076,10.2926,8.8917,2194,311,-9.25,2195,311,675,2448,360,702,2566,630,948,2420,586,956,1579,182,,1328,-129,,15.74,-10.33,14.17,-4.6,14.71,6.03,24.55,53.26,24.21,18.9,11.53,,-9.71,30.75,28.68,36.94,39.5,380,17.31,349,14.26,420,16.37,516,21.32,40,3,37,1.69,35,7,28,1.14,36,9,26,1.01,37,2,35,1.45,83,3.78,82,3.35,79,3.08,80,3.31,2854,71,,465,,994,,,0.0323,0.0249,0.1629,1.5344,0.5344,16.29,2916,137,513,487,350,1062,0.12,0.143,0.056,0.047,0.167,1.5728,0.5728,16.7,2788,60,516,351,291,930,0.1044,0.1134,0.0234,0.0215,0.1259,1.5005,0.5005,12.59,2728,296,658,434,138,1020,0.0506,0.057,0.1223,0.1085,0.1591,1.5972,0.5972,15.91
ARM,Arm Holdings plc,Technology,Semiconductors,NASDAQ,USD,3/31/24,9/14/23,2.7,306.51,1061998569,1053999985,325513,69.6881,100.6845,406.3833,1063.768,4671,801,26.35,4007,792,1014,3233,306,279,2679,524,848,2703,549,865,2027,388,,,0,,16.84,23.94,19.77,20.68,9.46,-0.89,19.56,33.35,20.31,,19.14,,,25.31,8.63,31.65,32.0,158,3.94,947,29.29,646,24.11,383,14.17,,116,-116,-2.89,,110,,,,42,,,,2,,,984,24.56,983,30.41,762,28.44,897,33.19,8932,2085,,356,,2093,,,0.5203,0.2334,0.0399,1.306,0.306,3.99,7927,1923,4197,226,-1697,2632,-0.2141,-0.5249,0.5948,0.2426,0.0285,1.4971,0.4971,2.85,6866,1554,3537,221,-1333,2815,-0.1941,-0.4976,0.5801,0.2263,0.0322,1.6949,0.6949,3.22,6510,1004,3092,261,-743,2962,-0.1141,-0.2749,0.3714,0.1542,0.0401,1.8348,0.8348,4.01
ARMK,Aramark,Industrials,Specialty Business Services,NYSE,USD,9/30/24,12/12/13,12.4,51.26,265104992,265105013,13589,0.7234,0.7809,43.0032,51.6692,18785,316,6.14,18506,326,1271,17401,263,1190,16083,674,1440,13687,194,830,12096,-90,,12829,-461,,12.89,6.35,1.76,8.19,1.51,17.51,4.19,13.15,1.42,-5.71,-0.74,,-3.59,6.87,6.84,8.95,6.06,432,2.33,299,1.72,128,0.8,152,1.11,364,22,342,1.85,389,22,366,2.1,467,29,437,2.72,384,16,368,2.69,278,1.5,283,1.63,273,1.7,258,1.89,13305,639,,5722,,10142,,,0.0345,0.048,0.4301,4.2064,3.2064,43.01,12674,672,3407,5567,4894,9628,0.3861,0.2812,0.0386,0.053,0.4392,4.1609,3.1609,43.92,16871,1927,5220,6939,5012,13150,0.2971,0.3116,0.1198,0.1142,0.4113,4.534,3.534,41.13,15082,329,3292,7785,7456,12044,0.4944,0.5448,0.024,0.0218,0.5162,4.9645,3.9645,51.62
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,NYSE,USD,12/31/24,8/21/07,18.8,37.25,175518000,175517999,6538,4.3909,5.6459,20.3043,38.0116,1489,322,15.52,1490,322,850,1158,172,553,990,105,423,845,44,329,781,28,,,-68,,14.03,28.67,21.61,16.97,14.85,17.16,10.61,8.19,5.21,,3.59,,,57.05,47.75,42.73,38.93,120,8.05,71,6.13,12,1.21,-36,-4.26,165,,165,11.07,123,,123,10.62,111,,111,11.21,101,,101,11.95,148,9.93,139,12.0,116,11.72,117,13.85,4349,2,,2421,,2858,,,0.0013,0.0005,0.5567,2.9168,1.9168,55.67,3824,4,233,2211,8,2501,0.0021,0.0069,0.0035,0.001,0.5782,2.8904,1.8904,57.82,2656,1,213,12,11,1785,0.0041,0.0111,0.001,0.0004,0.0045,3.0494,2.0494,0.45,2599,2,232,1563,1562,1738,0.601,1.8485,0.0024,0.0008,0.6014,3.0186,2.0186,60.14
AROW,Arrow Financial Corporation,Financials,Banks - Regional,NASDAQ,USD,12/31/24,9/18/80,45.7,36.82,16511643,16670700,608,3.6848,4.3741,14.1395,20.9655,165,43,28.02,166,44,,139,29,,133,30,,149,48,,143,49,,132,40,,-0.94,19.42,26.51,4.51,20.86,-10.74,22.56,4.2,32.21,8.33,34.27,,30.3,,,,,36,21.69,28,20.14,13,9.77,45,30.2,77,210,-133,-80.12,83,195,-111,-79.86,57,162,-104,-78.2,11,129,-118,-79.19,61,36.75,56,40.29,50,37.59,49,32.89,4446,214,,29,,4014,,,1.2892,0.0481,0.0065,10.2917,9.2917,0.65,4306,155,,34,-121,3905,-0.0281,-0.8705,1.1151,0.036,0.0079,10.7382,9.7382,0.79,4170,143,,52,-91,3790,-0.0218,-0.6842,1.0752,0.0343,0.0125,10.9737,9.9737,1.25,3970,65,,80,15,3616,0.0038,0.1007,0.4362,0.0164,0.0202,11.2147,10.2147,2.02
ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,Biotech,NASDAQ,USD,12/31/24,1/31/20,6.3,20.86,124033382,119199001,2587,6.8803,13.199,-161.6875,-18.4786,376,-16,81.47,376,-16,2,196,-140,-109,59,-262,-227,3,-311,-294,0,-206,,0,-135,,,91.84,-4.26,232.2,-71.43,1866.67,-444.07,,-10366.67,,,,,0.53,-55.61,-384.75,-9800.0,-16,-4.26,-117,-59.69,-247,-418.64,-281,-9366.67,12,9,3,0.8,27,,27,13.78,29,,29,49.15,15,,15,500.0,275,73.14,229,116.84,185,313.56,122,4066.67,433,43,,114,,243,,,0.1144,0.0993,0.2633,2.2789,1.2789,26.33,349,71,336,111,39,191,0.1117,0.199,0.3622,0.2034,0.3181,2.2089,1.2089,31.81,341,88,330,206,118,253,0.346,2.0,1.4915,0.2581,0.6041,3.875,2.875,60.41,449,54,437,203,149,240,0.3318,49.6667,18.0,0.1203,0.4521,2.1483,1.1483,45.21
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT Mortgage,NYSE,USD,12/31/24,12/3/07,18.5,16.57,81749504,81749504,1355,5.42,,5.6458,-96.7857,250,240,-274.08,332,323,,0,-14,,-62,-67,,-225,-229,,19,15,,,-215,,,,97.29,100.0,,72.44,108.06,-1284.21,101.78,,78.95,,,,,,,124,37.35,261,,133,-214.52,124,-55.11,642,800,-158,-47.59,524,550,-26,,525,552,-27,43.55,120,228,-107,47.56,4,1.2,4,,4,-6.45,5,-2.22,21005,63,,,,18744,,,0.1898,0.003,,9.2901,8.2901,,13548,68,,,,12187,,,,0.005,,9.9544,8.9544,,12344,222,,,,11073,,,-3.5806,0.018,,9.712,8.712,,9437,87,,,,8325,,,-0.3867,0.0092,,8.4865,7.4865,
ARRY,"Array Technologies, Inc.",Technology,Solar,NASDAQ,USD,12/31/24,10/15/20,5.6,8.48,152848992,152512994,1296,1.0093,1.4164,-24.9231,-5.4,1284,-52,-17.87,1284,-52,45,915,-240,-163,1576,137,276,1637,4,132,853,-50,,873,59,,2.37,40.33,-4.05,-41.94,-26.23,-3.73,8.69,91.91,0.24,-2.29,-5.86,,6.76,3.5,-17.81,17.51,8.06,80,6.23,135,14.75,215,13.64,130,7.94,27,12,15,1.17,34,16,18,1.97,44,8,35,2.22,36,3,33,2.02,199,15.5,160,17.49,159,10.09,150,9.16,1452,244,,766,,1191,,,0.19,0.168,0.5275,5.5632,4.5632,52.75,1426,363,999,693,330,1137,0.2314,0.3607,0.3967,0.2546,0.486,4.9343,3.9343,48.6,1707,249,832,731,481,1096,0.2818,0.3052,0.158,0.1459,0.4282,2.7938,1.7938,42.82,1706,134,831,770,636,1282,0.3728,0.3885,0.0819,0.0785,0.4513,4.0236,3.0236,45.13
ARTNA,Artesian Resources Corporation,Utilities,Utilities - Regulated Water,NASDAQ,USD,12/31/24,4/28/94,32.1,32.44,9407960,10267401,305,2.7232,2.8241,13.8636,15.25,112,22,4.36,113,23,53,108,20,50,98,16,45,98,18,45,91,16,,88,16,,5.88,4.63,20.35,10.2,18.52,0.0,16.33,7.69,18.37,3.41,17.58,,18.18,46.9,46.3,45.92,45.92,-18,-15.93,-9,-8.33,-30,-30.61,-24,-24.49,9,,9,7.96,8,,8,7.41,9,,9,9.18,8,,8,8.16,,,,,,,,,851,0,,183,,601,,,0.0,0.0,0.215,3.404,2.404,21.5,799,1,25,179,178,559,0.2228,1.6481,0.0093,0.0013,0.224,3.3292,2.3292,22.4,767,3,31,181,179,536,0.2334,1.8265,0.0306,0.0039,0.236,3.3203,2.3203,23.6,720,1,28,198,197,532,0.2736,2.0102,0.0102,0.0014,0.275,3.8298,2.8298,27.5
ARVN,"Arvinas, Inc.",Healthcare,Biotech,NASDAQ,USD,12/31/24,9/27/18,7.7,9.09,63960997,72991395,581,2.2176,2.2091,-7.2625,-2.9343,262,-80,-83.95,263,-81,-113,263,-198,-243,78,-367,-394,131,-282,-255,54,-191,,26,-119,,69.51,0.0,-30.8,237.18,-75.29,-40.46,-470.51,142.59,-215.27,107.69,-353.7,,-457.69,-42.97,-92.4,-505.13,-194.66,-276,-104.94,-261,-99.24,-350,-448.72,-280,-213.74,,38,,,,54,,,,38,,,,12,,,96,36.5,165,62.74,100,128.21,79,60.31,718,143,,9,,284,,,0.5437,0.1992,0.0125,1.6544,0.6544,1.25,1091,101,1067,10,-91,530,-0.0834,-0.346,0.384,0.0926,0.0092,1.9447,0.9447,0.92,1305,312,1280,3,-309,645,-0.2368,-3.9615,4.0,0.2391,0.0023,1.9773,0.9773,0.23,1269,81,1240,6,-76,704,-0.0599,-0.5802,0.6183,0.0638,0.0047,2.246,1.246,0.47
ARW,"Arrow Electronics, Inc.",Technology,Distribution,NYSE,USD,12/31/24,3/17/80,46.2,217.33,51867300,51867299,11272,0.3654,0.4037,19.7408,28.7551,30852,571,20.1,30853,571,1071,27923,392,922,33107,903,1674,37124,1426,2257,34477,1108,,28673,584,,-6.79,10.49,1.85,-15.66,1.4,-10.82,2.73,7.68,3.84,20.24,3.21,,2.04,3.47,3.3,5.06,6.08,-37,-0.12,1038,3.72,622,1.88,-112,-0.3,215,,215,0.7,269,,269,0.96,328,,328,0.99,185,,185,0.5,2391,7.75,2222,7.96,2416,7.3,2570,6.92,29078,306,,3085,,22419,,,0.0099,0.0105,0.1061,4.3667,3.3667,10.61,21758,189,18401,3124,2935,15926,0.1349,0.1051,0.0068,0.0087,0.1436,3.7308,2.7308,14.36,21726,218,18327,3808,3589,15849,0.1652,0.1084,0.0066,0.01,0.1753,3.6968,2.6968,17.53,21763,177,18340,3773,3596,16152,0.1652,0.0969,0.0048,0.0081,0.1734,3.8786,2.8786,17.34
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotech,NASDAQ,USD,9/30/24,12/16/93,32.4,74.95,140032190,137316989,10495,9.6284,3498.3333,51.9554,-17.5209,1090,202,10461.2,829,-2,165,3,-599,-561,240,-205,-175,243,-176,-162,138,-140,,88,-84,,-72.09,27533.33,-0.24,-98.75,-19966.67,-1.23,-85.42,76.09,-72.43,56.82,-101.45,,-95.45,19.9,-18700.0,-72.92,-66.67,157,18.94,-604,-20133.33,-330,-137.5,-188,-77.37,89,37,52,6.27,32,22,9,300.0,18,15,3,1.25,0,5,-5,-2.06,122,14.72,96,3200.0,90,37.5,124,51.03,1385,89,,366,,882,,,0.1074,0.0643,0.2643,2.7535,1.7535,26.43,1140,103,696,511,408,949,0.3579,136.0,34.3333,0.0904,0.4482,5.9686,4.9686,44.82,766,111,417,115,4,478,0.0052,0.0167,0.4625,0.1449,0.1501,2.6597,1.6597,15.01,692,108,405,82,-26,274,-0.0376,-0.107,0.4444,0.1561,0.1185,1.6555,0.6555,11.85
ARX,Accelerant Holdings,Financials,Insurance Brokers,NYSE,USD,,,,17.25,116757858,,2014,2.3283,3.3679,-1.4874,74.5926,865,-1354,23.51,880,-1354,,598,27,,330,-49,,213,-92,,,,,,,,,47.16,-153.86,81.21,4.52,54.93,-14.85,,-43.19,,,,,,,,,404,45.91,751,125.59,257,77.88,39,18.31,69,79,-10,-1.14,32,50,-18,-3.01,15,21,-6,-1.82,4,2,2,0.94,428,48.64,262,43.81,199,60.3,121,56.81,8263,1799,,121,,7537,,,2.0443,0.2177,0.0146,11.3815,10.3815,1.46,6095,1273,,121,,5668,,,2.1288,0.2089,0.0199,14.274,13.274,1.99,3737,775,,120,,3450,,,2.3485,0.2074,0.0321,13.0209,12.0209,3.21,2199,446,,100,,1849,,,2.0939,0.2028,0.0455,6.2829,5.2829,4.55
AS,"Amer Sports, Inc.",Consumer Discretionary,Leisure,NYSE,USD,12/31/24,2/1/24,2.3,35.26,554502016,554502014,19552,2.9778,3.7723,45.7892,267.8356,6566,427,28.47,6566,427,1106,5183,73,654,4400,-208,518,3571,-252,258,3066,-126,,,-237,,19.13,26.68,6.5,17.8,1.41,23.21,-4.73,16.47,-7.06,,-4.11,,,16.84,12.62,11.77,7.22,437,6.66,137,2.64,47,1.07,-211,-5.91,98,6,91,1.39,218,8,210,4.05,401,6,395,8.98,243,3,240,6.72,3105,47.29,2430,46.88,2014,45.77,1545,43.27,10064,652,,1753,,4244,,,0.0993,0.0648,0.1742,1.7292,0.7292,17.42,8396,345,2399,1483,1138,3388,0.1355,0.2196,0.0666,0.0411,0.1766,1.6765,0.6765,17.66,8374,483,2352,6661,6178,8531,0.7378,1.4041,0.1098,0.0577,0.7954,-53.3376,-54.3376,79.54,7895,402,2173,6236,5834,7969,0.7389,1.6337,0.1126,0.0509,0.7899,-106.6892,-107.6892,78.99
ASA,ASA Gold and Precious Metals Limited,Financials,Asset Management,NYSE,USD,11/30/24,1/3/78,48.4,59.54,19015300,19015299,1132,,9.5126,,9.8435,,,,672,664,,119,115,,10,9,,-154,-155,,19,18,,,178,,84.33,464.71,98.81,1090.0,96.64,106.49,90.0,-910.53,100.65,,94.74,,,,,,,,,,,,,,,,1,,,0,0,0,0.0,,0,,,,,,,2,0.3,1,0.84,1,10.0,1,-0.65,1102,4,,,,2,,,0.006,0.0036,,1.0018,0.0018,,445,5,,,,1,,,0.042,0.0112,,1.0023,0.0023,,336,5,,,,1,,,0.5,0.0149,,1.003,0.003,,326,1,,,,1,,,-0.0065,0.0031,,1.0031,0.0031,
ASAN,"Asana, Inc.",Technology,Software - Application,NYSE,USD,1/31/25,9/30/20,5.6,6.62,155868992,235429999,1032,1.3063,1.5804,-5.4603,-4.0156,790,-189,9.15,724,-256,-230,653,-257,-235,547,-407,-388,378,-288,-258,227,-211,,143,,,42.22,10.87,-35.36,19.38,-39.36,44.71,-74.41,66.52,-76.19,58.74,-92.95,,,-31.77,-35.99,-70.93,-68.25,3,0.41,-31,-4.75,-167,-30.53,-126,-33.33,4,20,-16,-2.21,4,21,-17,-2.6,2,7,-5,-0.91,18,0,17,4.5,572,79.01,533,81.62,601,109.87,401,106.08,891,185,,263,,664,,,0.2555,0.2076,0.2952,3.9251,2.9251,29.52,962,237,660,278,41,636,0.0426,0.0628,0.3629,0.2464,0.289,2.9509,1.9509,28.9,955,527,660,272,-255,598,-0.267,-0.4662,0.9634,0.5518,0.2848,2.6751,1.6751,28.48,707,240,411,256,15,503,0.0212,0.0397,0.6349,0.3395,0.3621,3.4657,2.4657,36.21
ASB,Associated Banc-Corp,Financials,Banks - Regional,NYSE,USD,12/31/24,3/17/80,46.2,28.01,165810000,165809999,4644,3.14,4.5131,9.7975,37.7561,1479,474,530.34,1479,475,,1029,123,,1097,183,,1233,366,,1049,351,,1277,306,,-0.64,43.73,32.12,-6.2,11.95,-11.03,16.68,17.54,29.68,-17.85,33.46,,23.96,,,,,579,39.15,535,51.99,381,34.73,784,63.58,972,2173,-1201,-81.2,1075,2122,-1047,-101.75,918,1958,-1039,-94.71,187,1145,-957,-77.62,590,39.89,554,53.84,563,51.32,502,40.71,45203,1719,,3862,,40227,,,1.1623,0.038,0.0854,9.0842,8.0842,8.54,43023,998,,2691,1694,38418,0.0394,1.6463,0.9699,0.0232,0.0625,9.3427,8.3427,6.25,41016,909,,2481,1572,36842,0.0383,1.433,0.8286,0.0222,0.0605,9.8265,8.8265,6.05,39406,594,,4589,3995,35390,0.1014,3.2401,0.4818,0.0151,0.1165,9.8123,8.8123,11.65
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping,NYSE,USD,12/31/24,8/1/13,12.8,18.83,40503300,40503300,763,2.4613,1.8793,18.6098,5.7368,310,41,1.06,310,41,81,406,133,174,395,116,157,445,138,185,192,-36,,,-6,,28.35,-23.65,13.23,2.78,32.76,-11.24,29.37,131.77,31.01,,-18.75,,,26.13,42.86,39.75,41.57,-39,-12.58,99,24.38,134,33.92,123,27.64,5,1,4,1.29,5,1,3,0.74,11,3,8,2.03,17,3,13,2.92,25,8.06,28,6.9,25,6.33,24,5.39,789,47,,129,,154,,,0.1516,0.0596,0.1635,1.2425,0.2425,16.35,705,47,127,44,-3,69,-0.0043,-0.0074,0.1158,0.0667,0.0624,1.1085,0.1085,6.24,691,47,127,94,47,117,0.068,0.119,0.119,0.068,0.136,1.2038,0.2038,13.6,724,51,158,185,134,217,0.1851,0.3011,0.1146,0.0704,0.2555,1.428,0.428,25.55
ASGN,ASGN Incorporated,Technology,IT Services,NYSE,USD,12/31/24,9/22/92,33.7,19.5,43800000,43799998,854,0.2146,0.2083,7.5575,4.88,3980,113,-0.5,3980,114,344,4100,175,401,4450,219,464,4581,268,500,4009,409,,3950,200,,0.75,-2.93,2.86,-7.87,4.27,-2.86,4.92,14.27,5.85,1.49,10.2,,5.06,8.64,9.78,10.43,10.91,288,7.24,365,8.9,417,9.37,270,5.89,68,,68,1.71,64,,64,1.56,66,,66,1.48,45,,45,0.98,854,21.46,821,20.02,844,18.97,895,19.54,3677,161,,1169,,1873,,,0.0405,0.0438,0.3179,2.0382,1.0382,31.79,3429,205,918,1034,895,1652,0.261,0.2183,0.05,0.0598,0.3015,1.9297,0.9297,30.15,3545,176,973,1105,929,1653,0.2621,0.2088,0.0396,0.0496,0.3117,1.8737,0.8737,31.17,3586,70,981,1122,1052,1684,0.2934,0.2296,0.0153,0.0195,0.3129,1.8854,0.8854,31.29
ASH,Ashland Inc.,Materials,Specialty Chemicals,NYSE,USD,9/30/24,3/17/80,46.2,57.21,45694500,45694498,2614,1.4482,1.2371,-3.7829,15.4675,1805,-691,-4.69,1824,-845,-511,2113,169,303,2191,178,457,2391,927,509,2111,220,,2326,-508,,0.03,-13.68,-46.33,-3.56,8.0,-8.36,8.12,13.26,38.77,-9.24,10.42,,-21.84,-28.02,14.34,20.86,21.29,-4,-0.22,274,12.97,73,3.33,-326,-13.63,61,5,56,3.07,53,10,43,2.04,54,12,42,1.92,62,4,58,2.43,344,18.86,404,19.12,365,16.66,393,16.44,4611,215,,1490,,2707,,,0.1179,0.0466,0.3231,2.4217,1.4217,32.31,5645,300,1195,1468,1168,2777,0.2069,0.5528,0.142,0.0531,0.2601,1.9683,0.9683,26.01,5939,417,1506,1458,1041,2842,0.1753,0.4751,0.1903,0.0702,0.2455,1.9177,0.9177,24.55,6213,646,1768,1383,737,2993,0.1186,0.3082,0.2702,0.104,0.2226,1.9295,0.9295,22.26
ASIC,Ategrity Specialty Insurance Company Holdings,Financials,Insurance - Property & Casualty,NYSE,USD,12/31/24,6/11/25,1.0,20.65,47066700,47066700,972,2.2925,2.8256,13.1351,20.6809,424,74,21.76,424,74,,344,47,,,,,,,,,,,,,,,23.26,17.45,,13.66,,,,,,,,,,,,,147,34.67,126,36.63,86,,,,1,,1,0.24,,,,,,,,,,,,,,,,,,,,,1474,30,,,,859,,,0.0708,0.0204,,2.3967,1.3967,,1123,27,,,,725,,,0.0785,0.024,,2.8216,1.8216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIX,AdvanSix Inc.,Materials,Chemicals,NYSE,USD,12/31/24,9/15/16,9.7,22.26,26812700,26812699,597,0.3922,0.3933,12.1837,13.5682,1522,49,9.39,1522,49,143,1518,44,133,1533,54,149,1945,171,297,1684,139,,1157,46,,-3.4,0.26,3.22,-0.98,2.9,-21.18,3.52,15.5,8.79,45.55,8.25,,3.98,9.4,8.76,9.72,15.27,6,0.39,2,0.13,10,0.65,184,9.46,8,,8,0.53,11,,11,0.72,7,,7,0.46,2,,2,0.1,105,6.9,94,6.19,95,6.2,87,4.47,1706,20,,381,,891,,,0.0131,0.0117,0.2233,2.0933,1.0933,22.33,1595,20,387,349,329,820,0.2063,0.2167,0.0132,0.0125,0.2188,2.0581,1.0581,21.88,1496,30,420,266,236,757,0.1578,0.1539,0.0196,0.0201,0.1778,2.0244,1.0244,17.78,1495,31,441,230,199,757,0.1331,0.1023,0.0159,0.0207,0.1538,2.0257,1.0257,15.38
ASLE,AerSale Corporation,Industrials,Airports & Air Services,NASDAQ,USD,12/31/24,2/28/19,7.2,6.24,47241615,46860102,295,0.8806,0.8551,36.875,59.0,335,8,-4.01,335,9,36,345,5,26,334,-5,0,408,43,66,340,36,,209,8,,0.49,-2.9,2.69,3.29,1.45,-18.14,-1.5,20.0,10.54,62.68,10.59,,3.83,10.75,7.54,0.0,16.18,-33,-9.85,-17,-4.93,-185,-55.39,-15,-3.68,,,,,,,,,,,,,,,,,90,26.87,94,27.25,103,30.84,96,23.53,640,4,,145,,216,,,0.0119,0.0063,0.2266,1.5094,0.5094,22.66,605,5,284,76,71,149,0.1174,0.2058,0.0145,0.0083,0.1256,1.3268,0.3268,12.56,554,6,265,67,61,109,0.1101,0.1826,0.018,0.0108,0.1209,1.2449,0.2449,12.09,532,147,334,33,-115,87,-0.2162,-0.2819,0.3603,0.2763,0.062,1.1955,0.1955,6.2
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment,NASDAQ,EUR,12/31/24,3/15/95,31.2,1632.9,385417665,393200004,629349,17.0468,20.7091,55.7143,77.3061,36919,11296,4.92,32667,9609,12550,30390,8141,10885,29632,8429,10726,22287,5920,7474,21895,6921,,15885,4038,,11.55,7.49,29.42,2.56,26.79,32.96,28.45,1.79,26.56,37.83,31.61,,25.42,38.42,35.82,36.2,33.54,11027,33.76,9766,32.14,3491,11.78,7544,33.85,118,223,-105,-0.32,174,196,-21,-0.07,164,208,-44,-0.15,64,17,46,0.21,1258,3.85,1253,4.12,1197,4.04,995,4.46,59403,15173,,5158,,36363,,,0.4645,0.2554,0.0868,2.5783,1.5783,8.68,52247,13695,33051,5040,-8654,32380,-0.1656,-0.2848,0.4506,0.2621,0.0965,2.6298,1.6298,9.65,42966,7532,26230,4980,-2552,28500,-0.0594,-0.0861,0.2542,0.1753,0.1159,2.9701,1.9701,11.59,38211,7651,24279,4485,-3166,28937,-0.0829,-0.1421,0.3433,0.2002,0.1174,4.1202,3.1202,11.74
